genes,infection_vaccination,n_conditions,comparison
IL4I1,Infection,4,Infection only
IL7,Infection,4,Infection only
INPP5D,Infection,4,Infection only
IPO7,Infection,4,Infection only
IRF2,Infection,4,Infection only
IRF7,Infection,4,Infection only
IRF9,Infection,4,Infection only
ITM2A,Infection,4,Infection only
ITPKB,Infection,4,Infection only
KAT7,Infection,4,Infection only
KCNH1,Infection,4,Infection only
KCNN3,Infection,4,Infection only
KIAA0513,Infection,4,Infection only
KLF8,Infection,4,Infection only
KLRC3,Infection,4,Infection only
KMT2A,Infection,4,Infection only
KRT23,Infection,4,Infection only
LAMC2,Infection,4,Infection only
LAMP2,Infection,4,Infection only
LAMP3,Infection,4,Infection only
LAX1,Infection,4,Infection only
LEF1,Infection,4,Infection only
LFNG,Infection,4,Infection only
LGR4,Infection,4,Infection only
LILRA5,Infection,4,Infection only
LILRB1,Infection,4,Infection only
LIMK1,Infection,4,Infection only
LMO2,Infection,4,Infection only
LRG1,Infection,4,Infection only
LRRC8A,Infection,4,Infection only
LSM14A,Infection,4,Infection only
LTBR,Infection,4,Infection only
MAL,Infection,4,Infection only
MAPT,Infection,4,Infection only
MASP2,Infection,4,Infection only
MEGF9,Infection,4,Infection only
METTL3,Infection,4,Infection only
MFSD6,Infection,4,Infection only
MGAM,Infection,4,Infection only
MSR1,Infection,4,Infection only
MST1R,Infection,4,Infection only
MT1G,Infection,4,Infection only
MX2,Infection,4,Infection only
MYO7B,Infection,4,Infection only
NAGLU,Infection,4,Infection only
NCF4,Infection,4,Infection only
NCR3LG1,Infection,4,Infection only
NDFIP2,Infection,4,Infection only
NF1,Infection,4,Infection only
NFKBID,Infection,4,Infection only
NPL,Infection,4,Infection only
NR3C2,Infection,4,Infection only
NRP1,Infection,4,Infection only
P2RX1,Infection,4,Infection only
PDE12,Infection,4,Infection only
PDE4B,Infection,4,Infection only
PDE4D,Infection,4,Infection only
PECAM1,Infection,4,Infection only
PF4,Infection,4,Infection only
PKNOX1,Infection,4,Infection only
PLD4,Infection,4,Infection only
PLEK,Infection,4,Infection only
PLEKHM2,Infection,4,Infection only
PLP1,Infection,4,Infection only
PLXDC2,Infection,4,Infection only
PLXND1,Infection,4,Infection only
PML,Infection,4,Infection only
PPBP,Infection,4,Infection only
PPIL4,Infection,4,Infection only
PRDX2,Infection,4,Infection only
PRKAR2B,Infection,4,Infection only
PRKCQ,Infection,4,Infection only
PRKDC,Infection,4,Infection only
PRTN3,Infection,4,Infection only
PSEN1,Infection,4,Infection only
PSMB10,Infection,4,Infection only
PSMB8,Infection,4,Infection only
PSME1,Infection,4,Infection only
PTGIR,Infection,4,Infection only
PTPN2,Infection,4,Infection only
PTPRC,Infection,4,Infection only
PVRIG,Infection,4,Infection only
RAB27A,Infection,4,Infection only
RAD51C,Infection,4,Infection only
RALGPS2,Infection,4,Infection only
