"","condition","genes"
"2680","BNT-I (D1)","CD8B"
"2681","BNT-I (D10, mild)","CD8B"
"2682","BNT-I (D10, severe)","CD8B"
"2683","BNT-I (D26, mild)","CD8B"
"2684","I (D10, moderate)","CD8B"
"2685","I (D26, moderate)","CD8B"
"2686","I-I (D1)","CD8B"
"2687","BBIBP (V3, D07)","CD8B2"
"2688","ZF2001 (V3, D07)","CD8B2"
"2689","ZF2001 (V3, D14)","CD8B2"
"2690","BNT-I (D10, mild)","CD96"
"2691","BNT-I (D10, severe)","CD96"
"2692","BNT-I (D26, mild)","CD96"
"2693","I (D10, moderate)","CD96"
"2694","I (D10, severe)","CD96"
"2695","I (D26, moderate)","CD96"
"2696","I (D26, severe)","CD96"
"2697","BNT-I (D10, severe)","CD99"
"2698","BNT-I (D2)","CD99"
"2699","BNT-I (D3)","CD99"
"2700","BNT-I (D51, severe)","CD99"
"2701","BNT-I-BNT (D51, severe)","CD99"
"2702","ChAd (V2, D3)","CD99"
"2703","ChAd (V2, D7)","CD99"
"2704","ChAd-BNT (V2, D3)","CD99"
"2705","ChAd-BNT (V2, D7)","CD99"
"2706","I-I (D1)","CD99"
"2707","I-I (D2)","CD99"
"2708","BNT-I (D10, mild)","CDC42"
"2709","BNT-I (D26, mild)","CDC42"
"2710","BNT-I-BNT (D51, mild)","CDC42"
"2711","I (D10, severe)","CDC42"
"2712","I (D26, severe)","CDC42"
"2713","BNT-I (D10, mild)","CDH17"
"2714","BNT-I (D10, severe)","CDH17"
"2715","BNT-I (D51, severe)","CDH17"
"2716","BNT-I-BNT (D51, mild)","CDH17"
"2717","BNT-MO (V3, D1)","CDH17"
"2718","ChAd (V2, D3)","CDH17"
"2719","I (D1)","CDH17"
"2720","I (D10, moderate)","CDH17"
"2721","I (D10, severe)","CDH17"
"2722","I (D26, severe)","CDH17"
"2723","I (D51, moderate)","CDH17"
"2724","BNT-I (D10, mild)","CDH26"
"2725","BNT-I (D26, mild)","CDH26"
"2726","I (D10, severe)","CDH26"
"2727","I (D26, severe)","CDH26"
"2728","BNT-I (D10, mild)","CDK6"
"2729","BNT-I (D10, mild)","CDKN2B"
"2730","BNT-I (D10, severe)","CDKN2B"
"2731","BNT-I (D51, severe)","CDKN2B"
"2732","I (D10, moderate)","CDKN2B"
"2733","I (D10, severe)","CDKN2B"
"2734","I (D26, moderate)","CDKN2B"
"2735","BBIBP (V3, D14)","CEACAM20"
"2736","BBIBP (V3, D28)","CEACAM20"
"2737","BNT-I (D1)","CEACAM20"
"2738","BNT-I (D10, mild)","CEACAM20"
"2739","BNT-I (D2)","CEACAM20"
"2740","BNT-I (D26, mild)","CEACAM20"
"2741","BNT-I (D26, severe)","CEACAM20"
"2742","BNT-I (D3)","CEACAM20"
"2743","BNT-I-BNT (D51, mild)","CEACAM20"
"2744","BNT-I-BNT (D51, severe)","CEACAM20"
"2745","BNT-MO (V3, D1)","CEACAM20"
"2746","I (D10, moderate)","CEACAM20"
"2747","I (D10, severe)","CEACAM20"
"2748","I (D26, moderate)","CEACAM20"
"2749","I (D26, severe)","CEACAM20"
"2750","I (D51, moderate)","CEACAM20"
"2751","I (D51, severe)","CEACAM20"
"2752","I-I (D0)","CEACAM20"
"2753","I-I (D1)","CEACAM20"
"2754","I-I (D2)","CEACAM20"
"2755","I-I (D3)","CEACAM20"
"2756","I-I (D5)","CEACAM20"
"2757","ZF2001 (V3, D07)","CEACAM20"
"2758","ZF2001 (V3, D28)","CEACAM20"
"2759","BNT-I (D1)","CEACAM8"
"2760","BNT-I (D10, mild)","CEACAM8"
"2761","BNT-I (D10, severe)","CEACAM8"
"2762","BNT-I (D2)","CEACAM8"
"2763","BNT-I (D26, mild)","CEACAM8"
"2764","BNT-I (D26, severe)","CEACAM8"
"2765","BNT-I-BNT (D51, mild)","CEACAM8"
"2766","BNT-I-BNT (D51, severe)","CEACAM8"
"2767","BNT-MO (V3, D1)","CEACAM8"
"2768","I (D10, moderate)","CEACAM8"
"2769","I (D10, severe)","CEACAM8"
"2770","I (D26, moderate)","CEACAM8"
"2771","I (D26, severe)","CEACAM8"
"2772","I (D51, moderate)","CEACAM8"
"2773","I (D51, severe)","CEACAM8"
"2774","I-I (D0)","CEACAM8"
"2775","I-I (D1)","CEACAM8"
"2776","BNT-I (D10, mild)","CEBPB"
"2777","BNT-I (D10, severe)","CEBPB"
"2778","BNT-I (D26, mild)","CEBPB"
"2779","BNT-I (D26, severe)","CEBPB"
"2780","BNT-I (D3)","CEBPB"
"2781","ChAd (V2, D7)","CEBPB"
"2782","ChAd-BNT (V2, D7)","CEBPB"
"2783","I (D10, severe)","CEBPB"
"2784","I (D26, moderate)","CEBPB"
"2785","I (D26, severe)","CEBPB"
"2786","I (D51, severe)","CEBPB"
"2787","ZF2001 (V3, D07)","CEBPB"
"2788","BBIBP (V3, D14)","CFB"
"2789","BBIBP (V3, D28)","CFB"
"2790","BNT-I (D1)","CFB"
"2791","BNT-I (D10, mild)","CFB"
"2792","BNT-I (D10, severe)","CFB"
"2793","BNT-I (D2)","CFB"
"2794","ChAd (V1, D3)","CFB"
"2795","ChAd-BNT (V2, D3)","CFB"
"2796","I (D1)","CFB"
"2797","I (D10, moderate)","CFB"
"2798","I (D26, severe)","CFB"
"2799","I (D51, severe)","CFB"
"2800","I-I (D0)","CFB"
"2801","I-I (D1)","CFB"
"2802","I-I (D3)","CFB"
"2803","I-I (D5)","CFB"
"2804","ZF2001 (V3, D14)","CFB"
"2805","BNT-I (D3)","CFD"
"2806","ChAd (V2, D3)","CFD"
"2807","I (D10, severe)","CFD"
"2808","I (D51, severe)","CFD"
"2809","BNT-I (D10, mild)","CFH"
"2810","BNT-I (D10, severe)","CFH"
"2811","BNT-I (D26, mild)","CFH"
"2812","BNT-I (D26, severe)","CFH"
"2813","BNT-I (D51, severe)","CFH"
"2814","BNT-I-BNT (D51, mild)","CFH"
"2815","ChAd (V2, D7)","CFH"
"2816","I (D10, moderate)","CFH"
"2817","I (D10, severe)","CFH"
"2818","I (D26, moderate)","CFH"
"2819","I (D26, severe)","CFH"
"2820","I (D51, severe)","CFH"
"2821","BBIBP (V3, D14)","CFHR1"
"2822","ZF2001 (V3, D07)","CFHR1"
"2823","ZF2001 (V3, D28)","CFHR1"
"2824","BBIBP (V3, D28)","CFHR3"
"2825","BNT-I (D1)","CFHR3"
"2826","BNT-I (D26, mild)","CFHR3"
"2827","BNT-I (D3)","CFHR3"
"2828","BNT-I (D51, severe)","CFHR3"
"2829","BNT-I-BNT (D51, severe)","CFHR3"
"2830","I (D1)","CFHR3"
"2831","I (D10, moderate)","CFHR3"
"2832","I (D26, moderate)","CFHR3"
"2833","I (D26, severe)","CFHR3"
"2834","I-I (D0)","CFHR3"
"2835","I-I (D1)","CFHR3"
"2836","I-I (D5)","CFHR3"
"2837","ZF2001 (V3, D07)","CFHR3"
"2838","BNT-I-BNT (D51, mild)","CFP"
"2839","I (D26, severe)","CFP"
"2840","BBIBP (V3, D07)","CH25H"
"2841","BBIBP (V3, D28)","CH25H"
"2842","BNT-I (D1)","CH25H"
"2843","BNT-I (D10, mild)","CH25H"
"2844","BNT-I (D10, severe)","CH25H"
"2845","BNT-I (D2)","CH25H"
"2846","BNT-I (D26, mild)","CH25H"
"2847","BNT-I (D26, severe)","CH25H"
"2848","BNT-I (D51, severe)","CH25H"
"2849","BNT-I-BNT (D51, mild)","CH25H"
"2850","BNT-I-BNT (D51, severe)","CH25H"
"2851","BNT-MO (V3, D1)","CH25H"
"2852","ChAd (V2, D3)","CH25H"
"2853","I (D1)","CH25H"
"2854","I (D10, moderate)","CH25H"
"2855","I (D10, severe)","CH25H"
"2856","I (D26, moderate)","CH25H"
"2857","I (D26, severe)","CH25H"
"2858","I (D51, moderate)","CH25H"
"2859","I (D51, severe)","CH25H"
"2860","I-I (D0)","CH25H"
"2861","I-I (D1)","CH25H"
"2862","I-I (D3)","CH25H"
"2863","I-I (D5)","CH25H"
"2864","BNT-I (D10, severe)","CHGA"
"2865","BNT-I (D2)","CHGA"
"2866","BNT-I (D26, severe)","CHGA"
"2867","BNT-I-BNT (D51, severe)","CHGA"
"2868","BNT-MO (V3, D1)","CHGA"
"2869","ChAd (V2, D3)","CHGA"
"2870","I (D10, moderate)","CHGA"
"2871","I (D10, severe)","CHGA"
"2872","I (D26, severe)","CHGA"
"2873","I (D51, severe)","CHGA"
"2874","ZF2001 (V3, D14)","CHGA"
"2875","BBIBP (V3, D07)","CHRNA4"
"2876","BBIBP (V3, D14)","CHRNA4"
"2877","BNT (V1, D6)","CHRNA4"
"2878","BNT-MO (V3, D1)","CHRNA4"
"2879","ChAd-BNT (V3, D1)","CHRNA4"
"2880","ZF2001 (V3, D07)","CHRNA4"
"2881","ZF2001 (V3, D28)","CHRNA4"
"2882","BNT-I (D1)","CHRNA7"
"2883","BNT-I (D10, mild)","CHRNA7"
"2884","BNT-I (D26, mild)","CHRNA7"
"2885","BNT-I (D26, severe)","CHRNA7"
"2886","BNT-I-BNT (D51, mild)","CHRNA7"
"2887","BNT-I-BNT (D51, severe)","CHRNA7"
"2888","BNT-MO (V3, D1)","CHRNA7"
"2889","ChAd (V2, D1)","CHRNA7"
"2890","ChAd (V2, D7)","CHRNA7"
"2891","I (D10, severe)","CHRNA7"
"2892","I (D26, severe)","CHRNA7"
"2893","I (D51, severe)","CHRNA7"
"2894","I-I (D0)","CHRNA7"
"2895","I-I (D1)","CHRNA7"
"2896","I-I (D3)","CHRNA7"
"2897","I-I (D5)","CHRNA7"
"2898","BBIBP (V3, D14)","CHRNB2"
"2899","BBIBP (V3, D28)","CHRNB2"
"2900","BNT-I (D10, mild)","CHRNB2"
"2901","BNT-I (D26, mild)","CHRNB2"
"2902","BNT-I (D51, severe)","CHRNB2"
"2903","BNT-I-BNT (D51, severe)","CHRNB2"
"2904","BNT-MO (V3, D1)","CHRNB2"
"2905","ChAd (V2, D1)","CHRNB2"
"2906","ChAd (V2, D3)","CHRNB2"
"2907","ChAd-BNT (V3, D1)","CHRNB2"
"2908","I (D51, severe)","CHRNB2"
"2909","I-I (D1)","CHRNB2"
"2910","I-I (D5)","CHRNB2"
"2911","ZF2001 (V3, D14)","CHRNB2"
"2912","ZF2001 (V3, D28)","CHRNB2"
"2913","BBIBP (V3, D14)","CHST3"
"2914","BNT (V1, D6)","CHST3"
"2915","BNT-I (D1)","CHST3"
"2916","BNT-I (D10, mild)","CHST3"
"2917","BNT-I (D10, severe)","CHST3"
"2918","BNT-I (D2)","CHST3"
"2919","BNT-I (D26, mild)","CHST3"
"2920","BNT-I-BNT (D51, mild)","CHST3"
"2921","BNT-I-BNT (D51, severe)","CHST3"
"2922","BNT-MO (V3, D1)","CHST3"
"2923","ChAd-BNT (V3, D1)","CHST3"
"2924","I (D10, moderate)","CHST3"
"2925","I (D10, severe)","CHST3"
"2926","I (D26, moderate)","CHST3"
"2927","I (D26, severe)","CHST3"
"2928","I (D51, moderate)","CHST3"
"2929","I-I (D0)","CHST3"
"2930","I-I (D1)","CHST3"
"2931","I-I (D3)","CHST3"
"2932","ZF2001 (V3, D07)","CHST3"
"2933","ZF2001 (V3, D14)","CHST3"
"2934","ZF2001 (V3, D28)","CHST3"
"2935","BBIBP (V3, D14)","CHST4"
"2936","BNT-I (D1)","CHST4"
"2937","BNT-I (D10, mild)","CHST4"
"2938","BNT-I (D10, severe)","CHST4"
"2939","BNT-I (D2)","CHST4"
"2940","BNT-I (D26, mild)","CHST4"
"2941","BNT-I (D26, severe)","CHST4"
"2942","BNT-I (D3)","CHST4"
"2943","BNT-I (D51, severe)","CHST4"
"2944","BNT-I-BNT (D51, mild)","CHST4"
"2945","BNT-I-BNT (D51, severe)","CHST4"
"2946","BNT-MO (V3, D1)","CHST4"
"2947","ChAd (V2, D7)","CHST4"
"2948","I (D1)","CHST4"
"2949","I (D10, moderate)","CHST4"
"2950","I (D10, severe)","CHST4"
"2951","I (D26, moderate)","CHST4"
"2952","I (D26, severe)","CHST4"
"2953","I (D51, severe)","CHST4"
"2954","I-I (D0)","CHST4"
"2955","I-I (D1)","CHST4"
"2956","I-I (D3)","CHST4"
"2957","ZF2001 (V3, D07)","CHST4"
"2958","ZF2001 (V3, D14)","CHST4"
"2959","ZF2001 (V3, D28)","CHST4"
"2960","I (D10, severe)","CIITA"
"2961","I (D26, severe)","CIITA"
"2962","BBIBP (V3, D07)","CLDN1"
"2963","BBIBP (V3, D14)","CLDN1"
"2964","BNT-I (D26, severe)","CLDN1"
"2965","BNT-I (D51, severe)","CLDN1"
"2966","BNT-I-BNT (D51, severe)","CLDN1"
"2967","ChAd (V2, D3)","CLDN1"
"2968","ChAd (V2, D7)","CLDN1"
"2969","ChAd-BNT (V2, D3)","CLDN1"
"2970","I (D10, moderate)","CLDN1"
"2971","I (D26, moderate)","CLDN1"
"2972","I-I (D0)","CLDN1"
"2973","I-I (D1)","CLDN1"
"2974","I-I (D2)","CLDN1"
"2975","I-I (D3)","CLDN1"
"2976","ZF2001 (V3, D07)","CLDN1"
"2977","BNT-I (D10, mild)","CLEC10A"
"2978","BNT-I (D10, severe)","CLEC10A"
"2979","BNT-I (D26, severe)","CLEC10A"
"2980","I (D10, moderate)","CLEC10A"
"2981","I (D10, severe)","CLEC10A"
"2982","I (D26, moderate)","CLEC10A"
"2983","I (D26, severe)","CLEC10A"
"2984","I (D51, severe)","CLEC10A"
"2985","BBIBP (V3, D07)","CLEC2A"
"2986","BNT-I (D1)","CLEC2A"
"2987","BNT-I (D10, mild)","CLEC2A"
"2988","BNT-I (D10, severe)","CLEC2A"
"2989","BNT-I (D2)","CLEC2A"
"2990","BNT-I (D26, mild)","CLEC2A"
"2991","BNT-I (D26, severe)","CLEC2A"
"2992","BNT-I (D3)","CLEC2A"
"2993","BNT-I (D51, severe)","CLEC2A"
"2994","ChAd (V2, D3)","CLEC2A"
"2995","ChAd (V2, D7)","CLEC2A"
"2996","ChAd-BNT (V3, D1)","CLEC2A"
"2997","I (D10, moderate)","CLEC2A"
"2998","I (D10, severe)","CLEC2A"
"2999","I (D26, moderate)","CLEC2A"
"3000","I (D26, severe)","CLEC2A"
"3001","I (D51, moderate)","CLEC2A"
"3002","I-I (D0)","CLEC2A"
"3003","I-I (D1)","CLEC2A"
"3004","I-I (D2)","CLEC2A"
"3005","I-I (D3)","CLEC2A"
"3006","ZF2001 (V3, D07)","CLEC2A"
"3007","BBIBP (V3, D14)","CLEC4G"
"3008","BBIBP (V3, D28)","CLEC4G"
"3009","BNT-I (D10, severe)","CLEC4G"
"3010","BNT-I (D26, mild)","CLEC4G"
"3011","BNT-I-BNT (D51, mild)","CLEC4G"
"3012","ChAd (V2, D7)","CLEC4G"
"3013","I (D26, severe)","CLEC4G"
"3014","I-I (D3)","CLEC4G"
"3015","ZF2001 (V3, D14)","CLEC4G"
"3016","BNT-I (D1)","CLEC6A"
"3017","BNT-I (D10, mild)","CLEC6A"
"3018","BNT-I (D10, severe)","CLEC6A"
"3019","BNT-I (D26, mild)","CLEC6A"
"3020","BNT-I (D26, severe)","CLEC6A"
"3021","BNT-I-BNT (D51, mild)","CLEC6A"
"3022","ChAd-BNT (V2, D3)","CLEC6A"
"3023","I (D10, moderate)","CLEC6A"
"3024","I (D26, moderate)","CLEC6A"
"3025","I-I (D1)","CLEC6A"
"3026","BNT-I (D10, mild)","CLNK"
"3027","BNT-I (D10, severe)","CLNK"
"3028","BNT-I (D26, mild)","CLNK"
"3029","BNT-I (D26, severe)","CLNK"
"3030","BNT-I-BNT (D51, mild)","CLNK"
"3031","ChAd (V2, D7)","CLNK"
"3032","I (D1)","CLNK"
"3033","I (D10, severe)","CLNK"
"3034","I (D26, severe)","CLNK"
"3035","I (D51, severe)","CLNK"
"3036","I-I (D0)","CLNK"
"3037","I-I (D3)","CLNK"
"3038","BNT-I (D10, severe)","CLU"
"3039","BNT-I (D2)","CLU"
"3040","BNT-I-BNT (D51, mild)","CLU"
"3041","BNT-I-BNT (D51, severe)","CLU"
"3042","ChAd-BNT (V2, D3)","CLU"
"3043","ChAd-BNT (V2, D7)","CLU"
"3044","ZF2001 (V3, D07)","CLU"
"3045","BNT-I (D1)","CNIH1"
"3046","BNT-I (D1)","CNR2"
"3047","BNT-I (D10, mild)","CNR2"
"3048","BNT-I (D10, severe)","CNR2"
"3049","BNT-I (D26, mild)","CNR2"
"3050","BNT-I (D26, severe)","CNR2"
"3051","BNT-I-BNT (D51, mild)","CNR2"
"3052","I (D10, moderate)","CNR2"
"3053","I-I (D1)","CNR2"
"3054","I-I (D3)","CNR2"
"3055","I-I (D5)","CNR2"
"3056","I (D26, severe)","CORO1A"
"3057","BBIBP (V3, D14)","CPLX2"
"3058","BBIBP (V3, D28)","CPLX2"
"3059","BNT-I (D10, mild)","CPLX2"
"3060","BNT-I (D10, severe)","CPLX2"
"3061","BNT-I (D51, severe)","CPLX2"
"3062","BNT-I-BNT (D51, mild)","CPLX2"
"3063","ChAd (V2, D3)","CPLX2"
"3064","ChAd (V2, D7)","CPLX2"
"3065","I (D10, moderate)","CPLX2"
"3066","I-I (D1)","CPLX2"
"3067","I-I (D2)","CPLX2"
"3068","I-I (D3)","CPLX2"
"3069","I-I (D5)","CPLX2"
"3070","ZF2001 (V3, D07)","CPLX2"
"3071","BNT-I (D10, mild)","CR1"
"3072","BNT-I (D10, severe)","CR1"
"3073","BNT-I (D26, mild)","CR1"
"3074","BNT-I (D26, severe)","CR1"
"3075","I (D1)","CR1"
"3076","I (D10, moderate)","CR1"
"3077","I (D10, severe)","CR1"
"3078","I (D26, moderate)","CR1"
"3079","I (D26, severe)","CR1"
"3080","I (D51, severe)","CR1"
"3081","BNT-I (D1)","CR2"
"3082","BNT-I (D10, mild)","CR2"
"3083","BNT-I (D2)","CR2"
"3084","BNT-I (D26, mild)","CR2"
"3085","BNT-I (D26, severe)","CR2"
"3086","BNT-I-BNT (D51, mild)","CR2"
"3087","BNT-I-BNT (D51, severe)","CR2"
"3088","I (D1)","CR2"
"3089","I-I (D1)","CR2"
"3090","I-I (D2)","CR2"
"3091","BNT-MO (V3, D1)","CRHR1"
"3092","ZF2001 (V3, D07)","CRHR1"
"3093","ZF2001 (V3, D28)","CRHR1"
"3094","BNT-I (D10, mild)","CRIP1"
"3095","BNT-I (D3)","CRIP1"
"3096","I (D10, moderate)","CRIP1"
"3097","I (D10, severe)","CRIP1"
"3098","I (D26, severe)","CRIP1"
"3099","BBIBP (V3, D14)","CRISP3"
"3100","BBIBP (V3, D28)","CRISP3"
"3101","BNT-I (D10, mild)","CRISP3"
"3102","BNT-I (D10, severe)","CRISP3"
"3103","BNT-I (D26, mild)","CRISP3"
"3104","BNT-I (D26, severe)","CRISP3"
"3105","BNT-I (D3)","CRISP3"
"3106","BNT-I-BNT (D51, mild)","CRISP3"
"3107","I (D10, moderate)","CRISP3"
"3108","I (D10, severe)","CRISP3"
"3109","I (D26, moderate)","CRISP3"
"3110","I (D26, severe)","CRISP3"
"3111","I (D51, moderate)","CRISP3"
"3112","I (D51, severe)","CRISP3"
"3113","I-I (D1)","CRISP3"
"3114","ZF2001 (V3, D28)","CRISP3"
"3115","I (D10, severe)","CRK"
"3116","BNT-I (D10, mild)","CRTAM"
"3117","BNT-I (D10, severe)","CRTAM"
"3118","BNT-I (D26, mild)","CRTAM"
"3119","I (D10, moderate)","CRTAM"
"3120","I (D10, severe)","CRTAM"
"3121","I (D26, moderate)","CRTAM"
"3122","I (D26, severe)","CRTAM"
"3123","I (D51, moderate)","CRTAM"
"3124","BNT-I (D10, mild)","CRTC3"
"3125","BNT-I (D10, mild)","CSF1"
"3126","BNT-I (D10, severe)","CSF1"
"3127","BNT-I (D2)","CSF1"
"3128","BNT-I (D26, mild)","CSF1"
"3129","BNT-I (D3)","CSF1"
"3130","ChAd (V2, D3)","CSF1"
"3131","ChAd (V2, D7)","CSF1"
"3132","I (D1)","CSF1"
"3133","I-I (D2)","CSF1"
"3134","ZF2001 (V3, D14)","CSF1"
"3135","BNT-I (D10, mild)","CSF2RB"
"3136","BNT-I (D51, severe)","CSF2RB"
"3137","BBIBP (V3, D07)","CSF3"
"3138","BNT-I (D1)","CSF3"
"3139","BNT-I-BNT (D51, severe)","CSF3"
"3140","BNT-MO (V3, D1)","CSF3"
"3141","ChAd (V1, D3)","CSF3"
"3142","ChAd (V1, D7)","CSF3"
"3143","ChAd (V2, D3)","CSF3"
"3144","ChAd-BNT (V2, D7)","CSF3"
"3145","I (D10, moderate)","CSF3"
"3146","I (D26, moderate)","CSF3"
"3147","I (D26, severe)","CSF3"
"3148","I (D51, severe)","CSF3"
"3149","I-I (D0)","CSF3"
"3150","I-I (D1)","CSF3"
"3151","I-I (D3)","CSF3"
"3152","I-I (D5)","CSF3"
"3153","BNT-I (D3)","CSK"
"3154","I (D1)","CSK"
"3155","I (D26, severe)","CSK"
"3156","BBIBP (V3, D14)","CST9"
"3157","BNT-MO (V3, D1)","CST9"
"3158","ZF2001 (V3, D07)","CST9"
"3159","BNT-I (D1)","CTLA4"
"3160","BNT-I (D10, mild)","CTLA4"
"3161","BNT-I (D10, severe)","CTLA4"
"3162","BNT-I (D2)","CTLA4"
"3163","I (D10, severe)","CTLA4"
"3164","I-I (D0)","CTLA4"
"3165","I-I (D1)","CTLA4"
"3166","I-I (D3)","CTLA4"
"3167","I-I (D5)","CTLA4"
"3168","BNT-I (D26, mild)","CTNNB1"
"3169","BNT-I-BNT (D51, mild)","CTNNB1"
"3170","BBIBP (V3, D07)","CTSE"
"3171","BBIBP (V3, D14)","CTSE"
"3172","BBIBP (V3, D28)","CTSE"
"3173","BNT-I (D1)","CTSE"
"3174","BNT-I (D10, mild)","CTSE"
"3175","BNT-I (D10, severe)","CTSE"
"3176","BNT-I (D2)","CTSE"
"3177","BNT-I (D26, severe)","CTSE"
"3178","BNT-I (D3)","CTSE"
"3179","BNT-I (D51, severe)","CTSE"
"3180","ChAd (V1, D7)","CTSE"
"3181","ChAd (V2, D3)","CTSE"
"3182","ChAd (V2, D7)","CTSE"
"3183","ChAd-BNT (V2, D3)","CTSE"
"3184","ChAd-BNT (V2, D7)","CTSE"
"3185","I (D1)","CTSE"
"3186","I (D10, moderate)","CTSE"
"3187","I (D51, moderate)","CTSE"
"3188","I-I (D1)","CTSE"
"3189","I-I (D2)","CTSE"
"3190","I-I (D5)","CTSE"
"3191","ZF2001 (V3, D28)","CTSE"
"3192","BBIBP (V3, D07)","CTSG"
"3193","BNT-I (D10, mild)","CTSG"
"3194","BNT-I (D10, severe)","CTSG"
"3195","BNT-I (D2)","CTSG"
"3196","BNT-I (D26, mild)","CTSG"
"3197","BNT-I (D26, severe)","CTSG"
"3198","BNT-I (D3)","CTSG"
"3199","BNT-I-BNT (D51, mild)","CTSG"
"3200","BNT-I-BNT (D51, severe)","CTSG"
"3201","ChAd (V1, D7)","CTSG"
"3202","I (D10, moderate)","CTSG"
"3203","I (D10, severe)","CTSG"
"3204","I (D26, moderate)","CTSG"
"3205","I (D26, severe)","CTSG"
"3206","I (D51, moderate)","CTSG"
"3207","I (D51, severe)","CTSG"
"3208","I-I (D1)","CTSG"
"3209","ZF2001 (V3, D07)","CTSG"
"3210","BNT-I (D10, mild)","CTSH"
"3211","BNT-I (D26, mild)","CTSH"
"3212","BNT-I-BNT (D51, mild)","CTSH"
"3213","I-I (D0)","CTSK"
"3214","BNT-I (D10, mild)","CTSW"
"3215","BNT-I (D10, severe)","CTSW"
"3216","BNT-I (D26, mild)","CTSW"
"3217","I (D10, moderate)","CTSW"
"3218","I (D26, moderate)","CTSW"
"3219","I (D26, severe)","CTSW"
"3220","BNT-I (D10, mild)","CX3CL1"
"3221","BNT-I (D10, severe)","CX3CL1"
"3222","BNT-I (D26, severe)","CX3CL1"
"3223","BNT-I (D51, severe)","CX3CL1"
"3224","BNT-I-BNT (D51, mild)","CX3CL1"
"3225","BNT-I-BNT (D51, severe)","CX3CL1"
"3226","BNT-MO (V3, D1)","CX3CL1"
"3227","I (D10, moderate)","CX3CL1"
"3228","I (D26, moderate)","CX3CL1"
"3229","I (D26, severe)","CX3CL1"
"3230","I (D51, moderate)","CX3CL1"
"3231","I-I (D0)","CX3CL1"
"3232","I-I (D3)","CX3CL1"
"3233","ZF2001 (V3, D07)","CX3CL1"
"3234","BNT-I (D10, mild)","CX3CR1"
"3235","BNT-I (D10, severe)","CX3CR1"
"3236","BNT-I (D26, mild)","CX3CR1"
"3237","BNT-I (D26, severe)","CX3CR1"
"3238","BNT-I (D51, severe)","CX3CR1"
"3239","BNT-I-BNT (D51, mild)","CX3CR1"
"3240","BNT-I-BNT (D51, severe)","CX3CR1"
"3241","ChAd (V1, D3)","CX3CR1"
"3242","ChAd (V2, D3)","CX3CR1"
"3243","ChAd (V2, D7)","CX3CR1"
"3244","I (D1)","CX3CR1"
"3245","I (D10, moderate)","CX3CR1"
"3246","I (D10, severe)","CX3CR1"
"3247","I (D26, moderate)","CX3CR1"
"3248","I (D26, severe)","CX3CR1"
"3249","I (D51, moderate)","CX3CR1"
"3250","I (D51, severe)","CX3CR1"
"3251","I-I (D0)","CX3CR1"
"3252","I-I (D1)","CX3CR1"
"3253","I-I (D2)","CX3CR1"
"3254","I-I (D3)","CX3CR1"
"3255","I-I (D5)","CX3CR1"
"3256","BNT-I (D10, mild)","CXADR"
"3257","BNT-I (D2)","CXADR"
"3258","BNT-I (D26, severe)","CXADR"
"3259","BNT-I-BNT (D51, mild)","CXADR"
"3260","BNT-I (D1)","CXCL1"
"3261","BNT-I (D26, mild)","CXCL1"
"3262","BNT-I (D3)","CXCL1"
"3263","BNT-I (D51, severe)","CXCL1"
"3264","ChAd (V1, D3)","CXCL1"
"3265","ChAd (V2, D7)","CXCL1"
"3266","ChAd-BNT (V2, D3)","CXCL1"
"3267","ChAd-BNT (V2, D7)","CXCL1"
"3268","I (D1)","CXCL1"
"3269","I-I (D0)","CXCL1"
"3270","I-I (D1)","CXCL1"
"3271","I-I (D3)","CXCL1"
"3272","ZF2001 (V3, D07)","CXCL1"
"3273","BBIBP (V3, D14)","CXCL12"
"3274","BNT (V1, D6)","CXCL12"
"3275","BNT (V2, D1)","CXCL12"
"3276","BNT-I (D1)","CXCL12"
"3277","BNT-I (D2)","CXCL12"
"3278","BNT-I (D26, mild)","CXCL12"
"3279","BNT-I (D3)","CXCL12"
"3280","BNT-I (D51, severe)","CXCL12"
"3281","ChAd (V1, D3)","CXCL12"
"3282","ChAd (V2, D7)","CXCL12"
"3283","ChAd-BNT (V2, D3)","CXCL12"
"3284","ChAd-BNT (V3, D1)","CXCL12"
"3285","I (D1)","CXCL12"
"3286","I (D51, moderate)","CXCL12"
"3287","I (D51, severe)","CXCL12"
"3288","I-I (D1)","CXCL12"
"3289","ZF2001 (V3, D07)","CXCL12"
"3290","ZF2001 (V3, D28)","CXCL12"
"3291","BBIBP (V3, D14)","CXCL14"
"3292","BNT-I (D1)","CXCL14"
"3293","BNT-I (D2)","CXCL14"
"3294","BNT-I (D26, mild)","CXCL14"
"3295","BNT-I (D3)","CXCL14"
"3296","BNT-I (D51, severe)","CXCL14"
"3297","BNT-I-BNT (D51, mild)","CXCL14"
"3298","BNT-I-BNT (D51, severe)","CXCL14"
"3299","BNT-MO (V3, D1)","CXCL14"
"3300","ChAd (V1, D3)","CXCL14"
"3301","ChAd (V2, D7)","CXCL14"
"3302","I (D10, moderate)","CXCL14"
"3303","I (D10, severe)","CXCL14"
"3304","I (D51, severe)","CXCL14"
"3305","ZF2001 (V3, D07)","CXCL14"
"3306","ZF2001 (V3, D14)","CXCL14"
"3307","ZF2001 (V3, D28)","CXCL14"
"3308","BBIBP (V3, D07)","CXCL17"
"3309","BNT (V1, D6)","CXCL17"
"3310","BNT-I (D10, severe)","CXCL17"
