"cell_name","marker","Type"
"Memory B cell","CD8+","Adaptive"
"B cell","CD20","Adaptive"
"B cell","MS4A1","Adaptive"
"Memory B cell","IgD","Adaptive"
"B cell","CD127","Adaptive"
"Antibody Secreting B cell","CD38","Adaptive"
"B cell","CD95","Adaptive"
"Antibody Secreting B cell","CD27","Adaptive"
"B cell","CD25","Adaptive"
"B cell","CD38","Adaptive"
"B cell","CD27","Adaptive"
"B cell","CD21","Adaptive"
"B cell","CD1c","Adaptive"
"B cell","IgD","Adaptive"
"B cell","IgM","Adaptive"
"B cell","CD19","Adaptive"
"Naive B cell","IgD","Adaptive"
"Memory B cell","CD27","Adaptive"
"Memory B cell","CD38","Adaptive"
"Memory B cell","CD19","Adaptive"
"Unswitched memory B cell(UnSw MB)","CD27","Adaptive"
"Memory B cell","CD24","Adaptive"
"Resting memory B cell","CD19","Adaptive"
"Resting memory B cell","CD21","Adaptive"
"Unswitched memory B cell(UnSw MB)","IgD","Adaptive"
"Unswitched memory B cell(UnSw MB)","CD19","Adaptive"
"Resting memory B cell","CD27","Adaptive"
"B cell","CCR7","Adaptive"
"B cell","CD79A","Adaptive"
"B cell","MS4A1","Adaptive"
"B cell","CD79B","Adaptive"
"B cell","CR2","Adaptive"
"B cell","CD81","Adaptive"
"B cell","CD79A","Adaptive"
"B cell","CD22","Adaptive"
"B cell","CD40","Adaptive"
"B cell","CD72","Adaptive"
"B cell","CD19","Adaptive"
"B cell","FCGR2A","Adaptive"
"Plasma cell","IGJ","Adaptive"
"Plasma cell","XBP1","Adaptive"
"Plasma cell","CD27","Adaptive"
"Plasma cell","IRF4","Adaptive"
"Pan-B cell","CXCR5","Adaptive"
"Pan-B cell","HLD-DR","Adaptive"
"Pan-B cell","CCR6","Adaptive"
"Pan-B cell","CD19","Adaptive"
"B cell","CD19","Adaptive"
"B cell","CD79A","Adaptive"
"B cell","CD20","Adaptive"
"B cell","IGHG1","Adaptive"
"Plasma cell","CD79A","Adaptive"
"B cell","CD79A","Adaptive"
"B cell","MS4A1","Adaptive"
"Switched memory B cell(Sw MB)","CD27","Adaptive"
"IgM memory B cell","CD27","Adaptive"
"IgM memory B cell","IgD","Adaptive"
"IgM memory B cell","IgM","Adaptive"
"Terminal differentiated B cell","CD38","Adaptive"
"Terminal differentiated B cell","CD27","Adaptive"
"Naive B cell","IgM","Adaptive"
"Naive B cell","IgD","Adaptive"
"Memory B cell","TSC2","Adaptive"
"Memory B cell","SMAD4","Adaptive"
"Naive B cell","IGHM","Adaptive"
"Naive B cell","IGHD","Adaptive"
"B cell","IGHM","Adaptive"
"B cell","PAX5","Adaptive"
"B cell","SPIB","Adaptive"
"Naive B cell","IL4R","Adaptive"
"Memory B cell","AIM2","Adaptive"
"B cell","ITGB1","Adaptive"
"B cell","FCRLA","Adaptive"
"B cell","IGHA1","Adaptive"
